doctor_id,doctor_name,area,disease,specialization,experience_years,rating,consultation_fee
1,Dr. Vikas Jadhav,Mumbai,Flu,General Physician,24,3.7,1133
2,Dr. Amit Jadhav,Mumbai,Flu,General Physician,34,4.3,1074
3,Dr. Priya Kulkarni,Mumbai,Flu,General Physician,16,4.4,1114
4,Dr. Anil Patil,Mumbai,Flu,General Physician,16,3.9,1297
5,Dr. Pooja Sharma,Mumbai,Flu,General Physician,3,3.5,1392
6,Dr. Pooja Jadhav,Mumbai,Flu,General Physician,18,4.8,1484
7,Dr. Sneha Gupta,Mumbai,Flu,General Physician,22,4.7,312
8,Dr. Vikas Kulkarni,Mumbai,Flu,General Physician,34,4.7,349
9,Dr. Vikas Shinde,Mumbai,Flu,General Physician,30,3.5,560
10,Dr. Priya Sharma,Mumbai,Flu,General Physician,19,3.7,446
11,Dr. Sneha Shinde,Mumbai,Cold,General Physician,7,4.8,309
12,Dr. Amit Kulkarni,Mumbai,Cold,General Physician,34,4.6,846
13,Dr. Pooja Patil,Mumbai,Cold,General Physician,5,4.1,1472
14,Dr. Amit Sharma,Mumbai,Cold,General Physician,3,4.7,390
15,Dr. Anil Patil,Mumbai,Cold,General Physician,25,4.0,1116
16,Dr. Anil Sharma,Mumbai,Cold,General Physician,6,4.4,1369
17,Dr. Sneha Joshi,Mumbai,Cold,General Physician,27,4.0,365
18,Dr. Rohit Jadhav,Mumbai,Cold,General Physician,11,3.9,1335
19,Dr. Rohit Patil,Mumbai,Cold,General Physician,25,4.5,1180
20,Dr. Anil Jadhav,Mumbai,Cold,General Physician,6,4.0,1347
21,Dr. Vikas Deshmukh,Mumbai,COVID-19,Pulmonologist,21,4.0,471
22,Dr. Neha Gupta,Mumbai,COVID-19,Pulmonologist,22,3.7,1200
23,Dr. Vikas Deshmukh,Mumbai,COVID-19,Pulmonologist,1,3.7,434
24,Dr. Priya Gupta,Mumbai,COVID-19,Pulmonologist,23,4.5,887
25,Dr. Pooja Sharma,Mumbai,COVID-19,Pulmonologist,27,3.9,835
26,Dr. Vikas Deshmukh,Mumbai,COVID-19,Pulmonologist,23,4.3,1385
27,Dr. Pooja Jadhav,Mumbai,COVID-19,Pulmonologist,26,4.5,924
28,Dr. Anil Jadhav,Mumbai,COVID-19,Pulmonologist,3,3.8,821
29,Dr. Rohit Shinde,Mumbai,COVID-19,Pulmonologist,34,5.0,1192
30,Dr. Anil Kulkarni,Mumbai,COVID-19,Pulmonologist,34,4.7,437
31,Dr. Pooja Jadhav,Mumbai,Malaria,Infectious Disease,17,4.1,1142
32,Dr. Anil Jadhav,Mumbai,Malaria,Infectious Disease,17,3.8,286
33,Dr. Neha Kulkarni,Mumbai,Malaria,Infectious Disease,11,3.7,1258
34,Dr. Rohit Joshi,Mumbai,Malaria,Infectious Disease,5,3.7,1078
35,Dr. Anil Gupta,Mumbai,Malaria,Infectious Disease,6,4.6,315
36,Dr. Amit Shinde,Mumbai,Malaria,Infectious Disease,31,4.2,1451
37,Dr. Vikas Sharma,Mumbai,Malaria,Infectious Disease,20,4.5,1481
38,Dr. Rohit Sharma,Mumbai,Malaria,Infectious Disease,14,3.8,208
39,Dr. Pooja Deshmukh,Mumbai,Malaria,Infectious Disease,1,4.6,313
40,Dr. Pooja Shinde,Mumbai,Malaria,Infectious Disease,26,4.7,800
41,Dr. Rahul Sharma,Mumbai,Dengue,Infectious Disease,1,4.2,749
42,Dr. Pooja Kulkarni,Mumbai,Dengue,Infectious Disease,27,4.8,977
